idx,word,occurrences
462,+,42
463,absolut,42
464,phx,42
465,philli,42
466,real,42
467,loyal,42
468,everyth,42
469,joke,42
470,quick,42
471,fll,42
472,form,42
473,announc,41
474,mainten,41
475,hard,41
476,turn,41
477,pm,41
478,close,41
479,locat,41
480,iah,41
481,arent,41
482,wouldnt,41
483,swa,41
484,wast,40
485,file,40
486,worri,40
487,ad,40
488,miami,40
489,wish,40
490,human,40
491,sat,40
492,world,40
493,unitedairlin,39
494,resolv,39
495,refus,39
496,glad,39
497,lga,39
498,usair,39
499,monday,39
500,oper,39
501,na,38
502,flyer,38
503,rather,38
504,blue,38
505,word,38
506,flew,38
507,entir,38
508,ceo,38
509,award,37
510,hate,37
511,companion,37
512,concern,37
513,mess,37
514,screw,37
515,inconveni,37
516,lie,37
517,read,37
518,date,37
519,group,37
520,empti,37
521,correct,36
522,yeah,36
523,bwi,36
524,theyr,36
525,forward,36
526,safe,36
527,list,36
528,fuck,36
529,appar,35
530,kind,35
531,tv,35
532,ruin,35
533,beyond,35
534,taken,35
535,spent,35
536,wow,35
537,tuesday,35
538,futur,35
539,pretti,35
540,counter,34
541,continu,34
542,report,34
543,upset,34
544,okay,34
545,fact,34
546,fine,34
547,suggest,34
548,manag,34
549,sunday,34
550,forc,33
551,detail,33
552,extrem,33
553,easi,33
554,submit,33
555,case,33
556,support,33
557,train,33
558,cross,33
559,super,33
560,fill,33
561,probabl,33
562,whole,33
563,spend,33
564,autom,32
565,delta,32
566,sw,32
567,media,32
568,sever,32
569,relat,32
570,situat,32
571,fault,32
572,luv,32
573,buy,32
574,c,32
575,asap,31
576,unfortun,31
577,either,31
578,shit,31
579,part,31
580,sad,31
581,except,31
582,den,31
583,high,31
584,expir,31
585,atl,31
586,set,31
587,access,31
588,storm,31
589,control,30
590,sign,30
591,inflight,30
592,nashvil,30
593,rdu,30
594,reimburs,30
595,meet,30
596,flown,30
597,post,30
598,promis,30
599,weekend,30
600,cloth,30
601,notic,30
602,bought,30
603,rock,30
604,luck,30
605,cold,30
606,cabin,30
607,supervisor,30
608,front,30
609,record,30
610,customerservic,30
611,transfer,30
612,shouldnt,29
613,loung,29
614,troubl,29
615,daughter,29
616,tsa,29
617,mom,29
618,winter,29
619,readi,29
620,drink,29
621,mco,29
622,safeti,29
623,atam,29
624,huge,29
625,enjoy,29
626,must,28
627,fun,28
628,zero,28
629,folk,28
630,learn,28
631,save,28
632,rate,28
633,wtf,28
634,wed,28
635,accommod,28
636,tire,28
637,bump,28
638,babi,28
639,select,28
640,kudo,28
641,stand,28
642,gold,27
643,multipl,27
644,tix,27
645,water,27
646,crazi,27
647,atlanta,27
648,austin,27
649,orlando,27
650,unabl,27
651,countri,27
652,ppl,27
653,matter,27
654,came,27
655,gt,27
656,ice,27
657,cover,27
658,platinum,27
659,sort,26
660,notif,26
661,win,26
662,mileag,26
663,top,26
664,state,26
665,catch,26
666,prioriti,26
667,mobil,26
668,spoke,26
669,round,26
670,sens,26
671,offic,26
672,despit,26
673,layov,26
674,page,26
675,middl,26
676,meal,26
677,usual,26
678,husband,25
679,saturday,25
680,space,25
681,hello,25
682,cut,25
683,failur,25
684,oscar,25
685,worth,25
686,attempt,25
687,r,25
688,assign,25
689,item,25
690,itinerari,25
691,held,25
692,note,25
693,area,25
694,fl,25
695,requir,25
696,serv,25
697,listen,25
698,child,25
699,secur,24
700,four,24
701,son,24
702,appli,24
703,neveragain,24
704,excus,24
705,honor,24
706,social,24
707,overhead,24
708,news,24
709,passbook,24
710,hand,24
711,code,24
712,overnight,24
713,aircraft,24
714,attitud,24
715,pull,24
716,knew,24
717,yr,24
718,hasnt,24
719,wo,24
720,surpris,24
721,door,24
722,bna,24
723,incompet,24
724,dividend,24
725,birthday,24
726,track,24
727,wall,24
728,seen,24
729,includ,24
730,window,24
731,push,23
732,plz,23
733,virgin,23
734,goe,23
735,short,23
736,blame,23
737,cours,23
738,afternoon,23
739,mention,23
740,excel,23
741,impress,23
742,shame,23
743,friday,23
744,ladi,23
745,prefer,23
746,deserv,23
747,anywher,23
748,choos,23
749,st,23
750,airplan,23
751,nonstop,23
752,letter,23
753,ny,23
754,liter,23
755,bit,23
756,clean,23
757,behind,22
758,friendli,22
759,notifi,22
760,anymor,22
761,flightat,22
762,TRUE,22
763,saw,22
764,none,22
765,volum,22
766,mia,22
767,man,22
768,tag,22
769,atpm,22
770,order,22
771,mind,22
772,mistak,22
773,exist,22
774,non,22
775,feedback,22
776,entertain,22
777,gone,22
778,ride,22
779,small,22
780,hire,22
781,receipt,22
782,nope,22
783,excit,21
784,program,21
785,youll,21
786,sell,21
787,haha,21
788,damag,21
789,gon,21
790,sound,21
791,play,21
792,explan,21
793,text,21
794,clear,21
795,finger,21
796,definit,21
797,enter,21
798,mine,21
799,americanairlin,21
800,n,21
801,anyway,21
802,power,21
803,for+,21
804,choic,21
805,stori,21
806,howev,20
807,consid,20
808,repres,20
809,web,20
810,expens,20
811,improv,20
812,step,20
813,walk,20
814,domest,20
815,earn,19
816,major,19
817,regard,19
818,cs,19
819,break,19
820,philadelphia,19
821,welcom,19
822,svc,19
823,warm,19
824,addit,19
825,mad,19
826,damn,19
827,werent,19
828,reward,19
829,parti,19
830,fan,19
831,callback,19
832,phoenix,19
833,equip,19
834,tmrw,19
835,result,19
836,offici,19
837,hell,19
838,dragon,19
839,bird,19
840,resolut,19
841,disgust,19
842,merg,19
843,incred,19
844,touch,19
845,useless,19
846,fair,19
847,rerout,19
848,nightmar,19
849,dollar,19
850,deic,18
851,match,18
852,slow,18
853,angri,18
854,center,18
855,frequent,18
856,die,18
857,altern,18
858,stuff,18
859,god,18
860,embarrass,18
861,march,18
862,interest,18
863,cater,18
864,appear,18
865,rule,18
866,advisori,18
867,smh,18
868,unhappi,18
869,carrier,18
870,deplan,18
871,complain,18
872,captain,18
873,view,18
874,kept,18
875,btw,18
876,replac,17
877,overbook,17
878,gener,17
879,mexico,17
880,ohar,17
881,video,17
882,avgeek,17
883,trust,17
884,bank,17
885,partner,17
886,usairwaysfail,17
887,gotten,17
888,realiz,17
889,broke,17
890,flightd,17
891,advis,17
892,base,17
893,dmed,17
894,onto,17
895,experienc,17
896,exactli,17
897,rental,17
898,fantast,17
899,posit,17
900,battl,17
901,sister,17
902,pathet,17
903,badservic,17
904,emerg,17
905,children,17
906,solut,17
907,act,17
908,deni,17
909,print,17
910,hit,17
911,carryon,17
912,rememb,17
913,import,16
914,congrat,16
915,bs,16
916,tho,16
917,remind,16
918,south,16
919,patienc,16
920,engin,16
921,coach,16
922,takeoff,16
923,screen,16
924,toward,16
925,bu,16
926,visit,16
927,remov,16
928,level,16
929,sky,16
930,recent,16
