0,"0.029*""thank"" + 0.015*""issue"" + 0.010*""thanks"" + 0.009*""system"" + 0.009*""weather"" + 0.008*""plane"" + 0.008*""well"" + 0.008*""time"" + 0.008*""much"" + 0.007*""great"""
1,"0.033*""service"" + 0.031*""customer"" + 0.013*""call"" + 0.013*""bag"" + 0.011*""help"" + 0.011*""airline"" + 0.010*""plane"" + 0.010*""please"" + 0.009*""back"" + 0.008*""ever"""
2,"0.021*""ticket"" + 0.010*""aa"" + 0.010*""flight"" + 0.009*""email"" + 0.009*""seat"" + 0.009*""would"" + 0.008*""mile"" + 0.008*""change"" + 0.008*""new"" + 0.008*""use"""
3,"0.024*""flight"" + 0.022*""thanks"" + 0.013*""get"" + 0.012*""plane"" + 0.008*""guy"" + 0.008*""flying"" + 0.008*""go"" + 0.008*""great"" + 0.007*""fly"" + 0.006*""next"""
4,"0.079*""flight"" + 0.025*""cancelled"" + 0.025*""hour"" + 0.019*""2"" + 0.019*""get"" + 0.014*""hold"" + 0.012*""flightled"" + 0.011*""time"" + 0.011*""phone"" + 0.011*""help"""
